date,pig,path,weight,area
28/07/2021,10,./imagenes/derechos/C2/C2_10_2021-07-28_61_area26498.816706872647_.jpg,8.3,26498.816
28/07/2021,10,./imagenes/derechos/C2/C2_10_2021-07-28_61_area27242.219944751763_.jpg,8.3,27242.219
2/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-02_128_area27246.1711512327_.jpg,12.5,27246.171
4/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-04_40_area26633.546134225744_.jpg,13.2,26633.546
6/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-06_26_area27169.726606252432_.jpg,14.3,27169.726
6/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-06_28_area26950.33682133425_.jpg,14.3,26950.336
6/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-06_45_area41153.63782353154_.jpg,14.3,41153.637
9/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-09_44_area39611.64259105299_.jpg,15.6,39611.642
9/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-09_60_area30870.584870583636_.jpg,15.6,30870.584
11/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-11_49_area41345.068304502296_.jpg,16.2,41345.068
11/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-11_51_area41990.47552374111_.jpg,16.2,41990.475
11/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-11_53_area39336.616023279756_.jpg,16.2,39336.616
13/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-13_51_area44933.32811291688_.jpg,17.6,44933.328
13/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-13_60_area42339.06675051651_.jpg,17.6,42339.066
13/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-13_64_area38292.20920694119_.jpg,17.6,38292.209
18/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-18_46_area46944.12396072112_.jpg,20.8,46944.123
18/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-18_48_area51634.7856960622_.jpg,20.8,51634.785
20/08/2021,10,./imagenes/derechos/C2/C2_10_2021-08-20_39_area48197.10894256611_.jpg,23.5,48197.108
